Zipcode,Total,White,Black,Asian,Multi,Other,Median_Income,Mean_Income
14720,724,0.970994475,0,0.002762431,0.008287293,0.017955801,40125,47408
14721,104,1,0,0,0,0,25227,31669
14722,407,0.972972973,0.027027027,0,0,0,73594,67368
14723,1193,0.965632858,0.009220453,0.001676446,0.021793797,0.001676446,44861,52879
14724,2465,0.987018256,0,0.002839757,0.008924949,0.001217039,45667,58808
14726,2155,0.981438515,0,0,0.015777262,0.002784223,41336,51544
14727,5090,0.980746562,0.003143418,0.006090373,0.009430255,0.000589391,48077,63641
14728,729,0.851851852,0,0.083676269,0.030178326,0.034293553,62736,62013
14729,902,0.990022173,0,0.003325942,0.001108647,0.005543237,52961,63668
14731,1302,0.990015361,0.006144393,0,0,0.003840246,54625,75669
14732,157,1,0,0,0,0,52917,48258
14733,4216,0.965370019,0.002609108,0.009013283,0.021347249,0.001660342,42891,46227
14735,2626,0.982863671,0.002665651,0,0.012185834,0.002284844,38278,44723
14736,150,1,0,0,0,0,34107,42551
14737,3998,0.977988994,0.004002001,0.005502751,0.006753377,0.005752876,37113,47016
14738,3700,0.987027027,0.003243243,0,0.004864865,0.004864865,47956,52970
14739,2636,0.985963581,0.000379363,0.004172989,0.007207891,0.002276176,38872,45512
14740,1639,0.984136669,0.004881025,0.004881025,0.006101281,0,49345,60833
14741,2412,0.974709784,0.000829187,0,0.005389718,0.01907131,55966,63447
14742,247,0.943319838,0.020242915,0,0,0.036437247,67083,65341
14743,1896,0.977320675,0.021097046,0,0,0.001582278,42799,46928
14744,2310,0.90952381,0.03030303,0.039393939,0.008225108,0.012554113,50298,61645
14747,2192,0.948448905,0,0,0.013686131,0.037864964,43482,53637
14748,851,0.67920094,0,0.071680376,0.089306698,0.159811986,31667,40119
14750,4448,0.951888489,0.005845324,0.036870504,0,0.005395683,53176,72121
14752,174,1,0,0,0,0,44167,55267
14753,978,0.967280164,0.014314928,0,0,0.018404908,32708,40267
14754,666,1,0,0,0,0,43750,46784
14755,3268,0.929620563,0.020807834,0,0.021725826,0.027845777,46037,55558
14756,105,1,0,0,0,0,N/A,N/A
14757,3496,0.937929062,0.022883295,0.005720824,0.024885584,0.008581236,44698,70276
14760,18523,0.935215678,0.03293203,0.009987583,0.012201047,0.009663661,41807,55826
14767,1927,0.962636222,0,0,0.029060716,0.008303062,42986,50560
14769,1017,0.981317601,0.000983284,0,0.017699115,0,48977,48941
14770,2896,0.972720994,0.005179558,0.002071823,0.013466851,0.006560773,50816,60597
14772,3945,0.951584284,0.003295311,0,0.033713561,0.011406844,43494,51385
14774,260,1,0,0,0,0,31103,51636
14775,2294,0.991281604,0.006102877,0,0,0.002615519,40769,48749
14777,654,0.98470948,0.01529052,0,0,0,47917,52511
14778,1451,0.824948312,0.063404549,0.027567195,0.028945555,0.05513439,N/A,N/A
14779,6633,0.728780341,0.016282225,0.007387306,0.050203528,0.1973466,31537,41558
14781,2437,0.988100123,0.003693065,0,0.006565449,0.001641362,48452,58223
14782,2762,0.976828385,0.001086169,0.000724113,0.01955105,0.001810282,44926,50500
14783,373,0.514745308,0,0.053619303,0,0.431635389,43250,51254
14784,708,1,0,0,0,0,29583,41399
14787,5074,0.975955853,0.020890816,0,0.001182499,0.001970832,42455,50512
14788,232,0.995689655,0.004310345,0,0,0,75972,55974
14801,5525,0.962352941,0.002714932,0.019366516,0.014479638,0.001085973,45810,55521
14802,4324,0.802035153,0.112858464,0.049259944,0.020814061,0.015032377,19018,47506
14803,917,0.966194111,0,0.025081788,0,0.0087241,49375,61854
14804,1636,0.950488998,0,0.035452323,0.012836186,0.001222494,61875,68758
14805,1026,0.970760234,0.002923977,0,0.026315789,0,53750,63101
14806,2161,0.983803795,0.003239241,0.011568718,0.001388246,0,49792,57908
14807,3088,0.981865285,0,0.000971503,0.011981865,0.005181347,45821,53895
14808,438,1,0,0,0,0,36250,40889
14809,2345,0.976545842,0.004690832,0,0.012366738,0.006396588,42902,55453
14810,12516,0.919622883,0.055768616,0.004154682,0.007510387,0.012943432,43750,52354
14812,3339,0.942497754,0.040730758,0,0.00688829,0.009883199,56211,60023
14813,2685,0.959776536,0.010428305,0.001117318,0.004841713,0.023836127,44223,52463
14814,2165,0.815704388,0.033718245,0.116397229,0.034180139,0,72667,82375
14815,1034,0.998065764,0,0,0.001934236,0,47500,54574
14816,293,0.945392491,0,0.044368601,0,0.010238908,49583,50302
14817,2261,0.991596639,0.008403361,0,0,0,59618,71687
14818,1836,0.990740741,0,0,0.00708061,0.002178649,45208,59647
14819,822,0.974452555,0,0,0.006082725,0.01946472,38854,41147
14820,631,1,0,0,0,0,41534,47108
14821,3218,0.997824736,0.000310752,0.000621504,0,0.001243008,47500,62842
14822,1391,0.97124371,0,0.011502516,0.004313444,0.012940331,35708,48309
14823,3639,0.970596318,0.006595218,0.001374004,0.011816433,0.009618027,49868,57662
14824,787,0.93519695,0.003811944,0.045743329,0.01270648,0.002541296,74650,72770
14825,1032,0.976744186,0.010658915,0,0.012596899,0,56481,61008
14826,2148,0.968808194,0,0,0.016294227,0.014897579,46902,57965
14827,100,1,0,0,0,0,24250,33226
14830,19734,0.943549204,0.020472281,0.016671734,0.012617817,0.006688963,51902,69886
14836,1124,0.991992883,0,0,0.001779359,0.006227758,51728,61538
14837,5661,0.968380145,0.007595831,0.003532945,0.014485073,0.006006006,44318,56812
14838,2010,0.984577114,0.004477612,0,0.010945274,0,55045,60242
14839,750,0.994666667,0,0.002666667,0.002666667,0,48667,53543
14840,3157,0.968957871,0.022489705,0.000950269,0.002217295,0.005384859,51893,73814
14841,973,0.977389517,0.001027749,0,0.021582734,0,58538,65165
14842,987,1,0,0,0,0,79009,123580
14843,12919,0.942332998,0.024150476,0.01354594,0.016177723,0.003792863,40638,52600
14845,20838,0.964343987,0.006334581,0.019531625,0.009453882,0.000335925,61005,73815
14846,789,1,0,0,0,0,42198,55932
14847,2276,0.952987698,0.014938489,0.01142355,0.011862917,0.008787346,48080,62760
14850,64877,0.75226968,0.049601554,0.142777872,0.036083666,0.019267229,46331,70383
14853,2781,0.75188781,0.12837109,0.078029486,0.011866235,0.029845379,N/A,N/A
14854,17,1,0,0,0,0,N/A,N/A
14855,988,0.949392713,0.032388664,0.018218623,0,0,43750,50473
14856,134,1,0,0,0,0,48362,51899
14858,1692,0.984042553,0,0,0.015957447,0,49554,61204
14859,913,0.989047097,0,0.004381161,0.006571742,0,39444,49888
14860,1236,0.984627832,0,0,0.008899676,0.006472492,53750,56857
14861,1244,0.987138264,0,0.009646302,0.003215434,0,47083,62751
14864,1131,0.979664014,0,0,0.012378426,0.00795756,53650,57500
14865,2582,0.97560031,0.012393493,0.005034857,0.006584043,0.000387297,38839,47109
14867,5722,0.961027613,0.007514855,0.015204474,0,0.016253058,49464,60728
14869,1383,0.989154013,0.005784526,0,0.003615329,0.001446132,52125,56144
14870,10366,0.906907197,0.019197376,0.059135636,0.011962184,0.002797608,59469,76976
14871,5419,0.889278465,0.096881343,0.006089684,0.00313711,0.004613397,64468,72235
14872,798,0.926065163,0.056390977,0,0.012531328,0.005012531,34258,44789
14873,2652,0.979260935,0.000754148,0,0.009049774,0.010935143,48897,57529
14874,265,1,0,0,0,0,43250,48661
14877,411,0.96593674,0,0.00486618,0.01216545,0.01703163,40682,59479
14878,683,1,0,0,0,0,65909,79761
14879,2105,0.975296912,0.006650831,0.011876485,0.002850356,0.003325416,45119,56169
14880,1488,0.98655914,0,0,0.006048387,0.007392473,42130,57508
14881,71,1,0,0,0,0,14803,15432
14882,3867,0.936384794,0.014998707,0.011378329,0.029997414,0.007240755,76929,107409
14883,4379,0.977848824,0.006850879,0.012331583,0.000456725,0.002511989,48929,59257
14884,199,0.989949749,0,0,0.010050251,0,51000,57936
14885,980,0.966326531,0.006122449,0.005102041,0.02244898,0,37000,48278
14886,6626,0.94597042,0.004527618,0.010715364,0.027618473,0.011168126,62900,76832
14889,1549,0.976759199,0.002582311,0,0.019367334,0.001291156,50000,58963
14891,4473,0.980997094,0.004024145,0.001341382,0.010283926,0.003353454,44448,58801
14892,8074,0.9715135,0.018578152,0.001610107,0.008298241,0,49623,62290
14893,11,1,0,0,0,0,N/A,N/A
14894,1337,0.958863126,0.008227375,0,0.032161556,0.000747943,40417,49975
14895,9692,0.978848535,0.009492365,0.004539827,0.002579447,0.004539827,38778,53839
14897,853,0.996483001,0,0,0.003516999,0,41905,42790
14898,2083,0.987518003,0,0,0.003360538,0.009121459,38472,47291
14901,17495,0.74438411,0.191654759,0.005887396,0.048185196,0.00988854,28844,42096
14903,6943,0.940947717,0.018867925,0.012098516,0.026645542,0.0014403,45000,59897
14904,15519,0.877633868,0.048972228,0.002899671,0.054964882,0.015529351,36250,45499
14905,9255,0.909562399,0.046029173,0.009940573,0.030686116,0.00378174,59159,91637
