"","camis","dba","boro","zipcode","cuisine_description","score","grade","rodent_list","roach_list","total.list","white.list","black.list","asian.list","multi.list","other.list","mean_income.list","median_income.list","cuisine_group_factor"
"98527","40987708","HALE & HEARTY SOUP","MANHATTAN","10005","Soups & Sandwiches",10,"A",FALSE,FALSE,6822,0.744209909,0.015244796,0.211228379,0.016564057,0.012752858,178458,124670,"Sandwiches"
"98548","40988528","LA STRADA PIZZERIA RESTAURANT","BROOKLYN","11219","Pizza/Italian",12,"A",FALSE,FALSE,96971,0.651246249,0.012044838,0.264243949,0.005609925,0.066855039,50967,34316,"Italian"
"98644","40988946","ALEO","MANHATTAN","10011","Italian",8,"A",FALSE,FALSE,52167,0.779860832,0.041213794,0.097341231,0.043418253,0.03816589,191483,104238,"Italian"
"98683","40988969","LORETTA'S PIZZA","BRONX","10465","Pizza",12,"A",FALSE,FALSE,44862,0.639004057,0.103807231,0.032455084,0.029891668,0.19484196,80849,65450,"Pizza"
"98704","40989220","NHA TRANG RESTAURANT","MANHATTAN","10013","Vietnamese/Cambodian/Malaysia",11,"A",FALSE,FALSE,26065,0.561212354,0.036063687,0.342106273,0.04331479,0.017302897,207336,83725,"Asian"
"98784","40989776","BURGER KING","MANHATTAN","10029","Hamburgers",12,"A",FALSE,FALSE,77454,0.350633925,0.303302605,0.089175511,0.028184471,0.228703489,61307,31888,"American"
"98799","40989787","NOLBU RESTAURANT","QUEENS","11358","Korean",11,"A",FALSE,FALSE,38317,0.465720176,0.019286479,0.42320641,0.022078973,0.069707963,83862,65722,"Asian"
"98871","40990299","ELEGANT CHINESE RESTAURANT","QUEENS","11427","Chinese",9,"A",FALSE,FALSE,24877,0.272339912,0.246171162,0.352333481,0.045905857,0.083249588,85446,70108,"Chinese"
"98905","40990594","TAI THAI","BROOKLYN","11249","Thai",16,"B",FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,"Asian"
"98942","40990597","TAI THAI THAILAND","MANHATTAN","10009","Thai",12,"A",FALSE,FALSE,62810,0.597675529,0.071580958,0.152682694,0.032733641,0.145327177,85508,59929,"Asian"
"98978","40990997","WENDY'S","MANHATTAN","10016","Hamburgers",10,"A",FALSE,FALSE,51196,0.748906165,0.032912728,0.155480897,0.023380733,0.039319478,155107,105324,"American"
"99015","40991266","ITALIANISSIMO RISTORANTE","MANHATTAN","10028","Italian",12,"A",FALSE,FALSE,44295,0.890664861,0.015396772,0.06388983,0.01943786,0.010610678,193882,104638,"Italian"
"99030","40991365","NAM SON RESTAURANT","MANHATTAN","10002","Asian",10,"A",FALSE,FALSE,82191,0.310800453,0.0736942,0.444391722,0.037899527,0.133214099,60347,33218,"Asian"
"99062","40991382","COZY CORNER/CHICKEN LOVER","MANHATTAN","10065","Delicatessen",13,"A",TRUE,FALSE,32797,0.86337165,0.026984175,0.085952984,0.016830808,0.006860384,214581,115519,"Sandwiches"
"99113","40991515","CAFE MINGALA","MANHATTAN","10021","Asian",9,"A",FALSE,FALSE,40862,0.885003181,0.019235476,0.074543586,0.013729137,0.00748862,208019,107907,"Asian"
"99141","40991804","EL VALLE RESTAURANT","BRONX","10455","Latin (Cuban, Dominican, Puerto Rican, South & Central American)",17,"B",FALSE,FALSE,38576,0.180397138,0.320613853,0.002799668,0.03007051,0.46611883,32350,22609,"Latin/Spanish"
"99161","40991835","UNCLE JACK'S STEAKHOUSE","MANHATTAN","10001","Steak",6,"A",FALSE,FALSE,21966,0.63475371,0.107575344,0.175452973,0.049075844,0.033142129,157557,81671,"American"
"99176","40992020","ANTILLANA PIZZERIA","BRONX","10459","Pizza/Italian",11,"Z",FALSE,TRUE,47977,0.132104967,0.304500073,0.00621131,0.039393876,0.517789774,35421,24461,"Italian"
"99227","40992090","MCDONALD'S","STATEN ISLAND","10307","Hamburgers",5,"A",FALSE,FALSE,14829,0.93816171,0.006136624,0.032773619,0.012340684,0.010587363,109555,86457,"American"
"99274","40992431","FAMOUS FAMIGLIA ","MANHATTAN","10032","Pizza",12,"A",FALSE,FALSE,59374,0.285158487,0.226395392,0.029709974,0.062333681,0.396402466,49378,34568,"Pizza"
"99285","40992677","BRIGHT STAR CHINESE FOOD","BRONX","10467","Chinese",23,"B",FALSE,FALSE,98754,0.186635478,0.384814792,0.061101322,0.042823582,0.324624825,47694,36048,"Chinese"
"99380","40993070","BASURERO","QUEENS","11103","Latin (Cuban, Dominican, Puerto Rican, South & Central American)",13,"A",FALSE,TRUE,37745,0.772314214,0.027023447,0.128652802,0.026122665,0.045886872,69034,55129,"Latin/Spanish"
"99416","40993101","SANT AMBROEUS","MANHATTAN","10014","Italian",12,"A",FALSE,FALSE,30597,0.878877014,0.020819035,0.061901494,0.023662451,0.014740007,170750,108483,"Italian"
"99431","40993361","KNAPP PIZZA III","BROOKLYN","11223","Pizza",16,"B",FALSE,FALSE,74606,0.664504195,0.039272981,0.236817414,0.017183605,0.042221805,60488,41328,"Pizza"
"99449","40993510","THE NEW SANTIAGO RESTAURANT","BROOKLYN","11208","Spanish",12,"A",FALSE,FALSE,93107,0.330254438,0.519885723,0.047923357,0.016615292,0.08532119,45630,35079,"Latin/Spanish"
"99510","40993590","CARIDAD","MANHATTAN","10024","Latin (Cuban, Dominican, Puerto Rican, South & Central American)",13,"A",FALSE,FALSE,59164,0.809884389,0.067929822,0.060188628,0.044030153,0.017967007,194424,109956,"Latin/Spanish"
"99708","40994068","LOS GIRASOLES RESTAURANT","QUEENS","11419","Latin (Cuban, Dominican, Puerto Rican, South & Central American)",31,"C",FALSE,FALSE,49193,0.11889903,0.177667554,0.302319436,0.079442197,0.321671783,70532,56735,"Latin/Spanish"
"99826","40994221","MANGIA","MANHATTAN","10010","Italian",13,"A",FALSE,FALSE,30670,0.711444408,0.059341376,0.149722856,0.048679491,0.030811868,145088,97955,"Italian"
"99876","40994534","MACUMBA CAFE","STATEN ISLAND","10304","Mexican",2,"A",FALSE,FALSE,43084,0.475234426,0.291686009,0.108439328,0.029802247,0.094837991,77659,53168,"Latin/Spanish"
"99914","40994739","LE PAIN QUOTIDIEN","MANHATTAN","10019","Sandwiches",10,"A",FALSE,FALSE,38394,0.726181174,0.065765484,0.134005313,0.026332239,0.047715789,135288,84424,"Sandwiches"
"99999","40995004","SUBWAY","MANHATTAN","10019","Sandwiches",11,"A",FALSE,FALSE,38394,0.726181174,0.065765484,0.134005313,0.026332239,0.047715789,135288,84424,"Sandwiches"
"100010","40995117","GOLDEN KRUST CARIBBEAN BAKERY & GRILL","BRONX","10470","Caribbean",7,"A",FALSE,FALSE,14850,0.470505051,0.325521886,0.037710438,0.021144781,0.145117845,69447,58600,"Latin/Spanish"
"100016","40995330","TACOS MEXICOS","QUEENS","11103","Mexican",11,"A",FALSE,FALSE,37745,0.772314214,0.027023447,0.128652802,0.026122665,0.045886872,69034,55129,"Latin/Spanish"
"100037","40995404","EL GUANACO RESTAURANT & PUPUSERIA","MANHATTAN","10033","Latin (Cuban, Dominican, Puerto Rican, South & Central American)",9,"A",FALSE,FALSE,58710,0.411003236,0.090172032,0.027201499,0.04184977,0.429773463,62147,41556,"Latin/Spanish"
"100083","40995563","LEGEND COOKHOUSE","QUEENS","11420","Caribbean",18,"B",TRUE,FALSE,48449,0.16617474,0.282523891,0.184730335,0.064645297,0.301925736,77629,59832,"Latin/Spanish"
"100122","40995721","QUARTINO BOTTEGA ORGANICA","MANHATTAN","10012","Italian",5,"A",FALSE,FALSE,26145,0.753145917,0.022566456,0.165959074,0.029795372,0.02853318,136376,86594,"Italian"
"100147","40996005","N & D PIZZA","BROOKLYN","11229","Pizza",13,"A",FALSE,FALSE,81030,0.723300012,0.041219301,0.203665309,0.010267802,0.021547575,67981,51725,"Pizza"
"100159","40996211","VITO'S PIZZERIA/MAMA LINA'S","QUEENS","11364","Pizza/Italian",11,"A",FALSE,FALSE,34751,0.443757014,0.017093033,0.486604702,0.023682772,0.028862479,86027,72909,"Italian"
"100276","40996589","GENA'S GRILL","MANHATTAN","10009","Latin (Cuban, Dominican, Puerto Rican, South & Central American)",13,"A",FALSE,FALSE,62810,0.597675529,0.071580958,0.152682694,0.032733641,0.145327177,85508,59929,"Latin/Spanish"
"100312","40996642","RECUERDOS MEXICANOS","STATEN ISLAND","10302","Mexican",5,"A",FALSE,FALSE,16811,0.612634584,0.203438225,0.065492832,0.029563976,0.088870382,70132,56841,"Latin/Spanish"
"100498","40997599","GINGER","MANHATTAN","10018","Chinese",10,"A",FALSE,FALSE,7021,0.587523145,0.066229882,0.255234297,0.025637374,0.065375303,139891,104635,"Chinese"
"100588","40997656","AMERICAN HERO EXPRESS","BROOKLYN","11208","Sandwiches",9,"A",TRUE,FALSE,93107,0.330254438,0.519885723,0.047923357,0.016615292,0.08532119,45630,35079,"Sandwiches"
"100659","40997888","CHIPOTLE MEXICAN GRILL","MANHATTAN","10003","Mexican",11,"A",FALSE,FALSE,57310,0.775955331,0.041196999,0.134444251,0.029767929,0.018635491,146769,92540,"Latin/Spanish"
